Besoins en Main-d’Œuvre 2022 source Pôle emploi
Nombre de projets de recrutement en 2022 par Région
Métiers : Employés et opérateurs en informatique et Ingén. et cadres d'administration, maintenance en informatique et Ingén. et cadres d'étude, R&D en informatique, chefs de projets informatiques et Techniciens des services aux utilisateurs en informatique et Techniciens d'étude et de développement en informatique
https://statistiques.pole-emploi.org/bmo/bmo?fe=M0Z60,M2Z91,M2Z90,M1Z81,M1Z80&la=0&pp=2022&ss=1
Région;Projets de recrutement;Difficultés à recruter;Emplois saisonniers
Île-de-France; 33 030;57,5 %;1,9 %
Auvergne-Rhône-Alpes; 8 910;67,7 %;3,5 %
Provence-Alpes-Côte d'Azur; 6 810;67,8 %;3,8 %
Occitanie; 5 350;61,9 %;5,4 %
Hauts-de-France; 5 260;62,7 %;4,4 %
Pays de la Loire; 4 640;78,9 %;0,9 %
Nouvelle Aquitaine; 3 760;70,5 %;4,0 %
Grand Est; 2 560;59,8 %;2,3 %
Bretagne; 2 320;75,0 %;3,0 %
Normandie; 1 260;61,9 %;0,0 %
Centre-Val de Loire; 1 180;67,8 %;0,0 %
Bourgogne-Franche-Comté;  880;59,1 %;1,1 %
La Réunion;  300;73,3 %;0,0 %
Martinique;  240;62,5 %;8,3 %
Guadeloupe;  220;50,0 %;9,1 %
Corse;  70;85,7 %;28,6 %
Guyane;  30;100,0 %;33,3 %
Mayotte;  30;100,0 %;0,0 %
Total; 76 830;63,1 %;2,7 %
